"delGcox0"	"delGd0"	"delGd"	"delGcat0"	"delGcat"	"delGan0_O2"	"delGan_O2"	"delGdis_O2"	"lambda_O2"	"stoichD_donor"	"stoichD_h2o"	"stoichD_hco3"	"stoichD_nh4"	"stoichD_hpo4"	"stoichD_hs"	"stoichD_h"	"stoichD_e"	"stoichD_acceptor"	"stoichD_biom"	"stoichA_donor"	"stoichA_h2o"	"stoichA_hco3"	"stoichA_nh4"	"stoichA_hpo4"	"stoichA_hs"	"stoichA_h"	"stoichA_e"	"stoichA_acceptor"	"stoichA_biom"	"stoichCat_donor"	"stoichCat_h2o"	"stoichCat_hco3"	"stoichCat_nh4"	"stoichCat_hpo4"	"stoichCat_hs"	"stoichCat_h"	"stoichCat_e"	"stoichCat_acceptor"	"stoichCat_biom"	"stoichAn_O2_donor"	"stoichAn_O2_h2o"	"stoichAn_O2_hco3"	"stoichAn_O2_nh4"	"stoichAn_O2_hpo4"	"stoichAn_O2_hs"	"stoichAn_O2_h"	"stoichAn_O2_e"	"stoichAn_O2_acceptor"	"stoichAn_O2_biom"	"stoichMet_O2_donor"	"stoichMet_O2_h2o"	"stoichMet_O2_hco3"	"stoichMet_O2_nh4"	"stoichMet_O2_hpo4"	"stoichMet_O2_hs"	"stoichMet_O2_h"	"stoichMet_O2_e"	"stoichMet_O2_acceptor"	"stoichMet_O2_biom"	"formula"
60.3	603	-1394.69216776112	-4306	-4705.53843355222	6.11500000000011	-3.87346083880546	465.116279069767	0.0980212625492825	-1	-23	10	0	0	0	50	40	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-3	10	0	0	0	10	0	-10	0	-0.105	0.0850000000000001	0.0499999999999998	-0.2	0	0	0.249999999999999	0	0	1	-0.203021262549282	-0.209063787647847	1.03021262549282	-0.2	0	0	1.23021262549282	0	-0.980212625492825	1	"C10H14O7"
54.6	546	-1411.7383244059	-4117.55	-4557.04227690745	3.14736842105275	-13.4650190792765	465.116279069767	0.0991106144174278	-1	-23	10	0	0	1	49	38	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	0	0	1	11	0	-9.5	0	-0.110526315789474	-0.0421052631578944	0.105263157894737	-0.2	0	0.110526315789474	0.41578947368421	0	0	1	-0.209636930206901	-0.438547720827605	1.09636930206901	-0.2	0	0.209636930206901	1.50600623227591	0	-0.941550836965564	1	"C10H14O7P"
48.9	489	-1348.87679434023	-3929.1	-4328.63843355222	-0.149999999999977	-14.7997425635815	465.116279069767	0.104031912902608	-1	-21	10	0	0	0	46	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-3	10	0	0	0	10	0	-9	0	-0.116666666666667	0.0500000000000004	0.166666666666666	-0.2	0	0	0.366666666666666	0	0	1	-0.220698579569275	-0.262095738707823	1.20698579569275	-0.2	0	0	1.40698579569274	0	-0.936287216123471	1	"C10H14O9"
48.9	489	-1229.01526427456	-3929.1	-4208.77690348656	-0.15000000000002	-0.815897389253685	465.116279069767	0.110317175827468	-1	-25	10	3	0	0	43	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	3	0	0	7	0	-9	0	-0.116666666666667	-0.416666666666666	0.166666666666666	0.15	0	0	0.0166666666666656	0	0	1	-0.226983842494135	-1.18888689745894	1.26983842494135	0.480951527482405	0	0	0.788886897458943	0	-0.992854582447214	1	"C10H15N3O5"
43.2	432	-1206.10757756412	-3740.65	-4020.32690348656	-3.83529411764689	-6.42054280533772	465.116279069767	0.114094138928512	-1	-24	10	3	0	0	41	34	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	3	0	0	7	0	-8.5	0	-0.123529411764706	-0.464705882352941	0.235294117647059	0.170588235294118	0	0	0.0647058823529404	0	0	1	-0.237623550693218	-1.26336485485252	1.37623550693218	0.512870652079654	0	0	0.863364854852525	0	-0.969800180892352	1	"C10H15N3O6"
37.5	375	-1183.19989085367	-3552.2	-3831.87690348656	-7.98124999999988	-12.7257688984325	465.116279069767	0.118059771116268	-1	-23	10	3	0	0	39	32	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	3	0	0	7	0	-8	0	-0.13125	-0.51875	0.3125	0.19375	0	0	0.118749999999999	0	0	1	-0.249309771116268	-1.34516839781387	1.49309771116268	0.547929313348803	0	0	0.945168397813872	0	-0.94447816893014	1	"C10H15N3O7"
191.4	1914	-2520.87661242969	-8640.35	-9639.19608388056	-405.79	-473.711533703878	473.711533703878	-0.00089169828679844	-1	-59	10	1	8	0	111	86	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-16	10	1	8	0	25	0	-21.5	0	-0.1	-1.2	0	-0.1	0.8	0	1.7	0	-1.1	1	-0.1	-1.2	0	-0.1	0.8	0	1.7	0	-1.1	1	"C10H15NO3S8"
51.75	517.5	-1440.2383244059	-4023.325	-4502.77112026267	1.54324324324324	-20.9172957240169	465.116279069767	0.0986501359899986	-1	-25	10	1	1	1	49	37	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6.5	10	1	1	1	12	0	-9.25	0	-0.113513513513513	-0.337837837837837	0.135135135135135	-0.0864864864864865	0.113513513513513	0.113513513513513	0.562162162162161	0	0	1	-0.212163649503512	-0.979063721772828	1.12163649503512	0.0121636495035121	0.212163649503512	0.212163649503512	1.74596379404214	0	-0.912513757907487	1	"C10H15NO9SP"
46.05	460.5	-1337.42295098501	-3834.875	-4234.41343355222	-1.93999999999986	-17.9215373420888	465.116279069767	0.105609607740293	-1	-24	10	2	1	0	45	35	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6.5	10	2	1	0	10	0	-8.75	0	-0.12	-0.38	0.2	0.04	0.12	0	0.399999999999999	0	0	1	-0.225609607740293	-1.06646245031191	1.25609607740293	0.251219215480586	0.225609607740293	0	1.45609607740293	0	-0.924084067727566	1	"C10H16N2O10S"
66	660	-1337.69216776112	-4494.45	-4814.08074684178	8.79999999999993	8.79999999999996	503.909572742023	0.106502071673472	-1	-26	10	2	0	0	50	42	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-5	10	2	0	0	8	0	-10.5	0	-0.1	-0.0999999999999996	0	0	0	0	-8.88178419700125e-16	0	-2.22044604925031e-16	1	-0.206502071673472	-0.632510358367357	1.06502071673472	0.213004143346943	0	0	0.852016573387771	0	-1.11827175257145	1	"C10H16N2O4"
60.3	603	-1314.78448105068	-4306	-4625.63074684178	6.11499999999998	4.51684626579109	485.028022667638	0.10583310595375	-1	-25	10	2	0	0	48	40	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-5	10	2	0	0	8	0	-10	0	-0.105	-0.125	0.0499999999999998	0.00999999999999996	0	0	0.0399999999999998	0	0	1	-0.21083310595375	-0.654165529768749	1.1083310595375	0.2216662119075	0	0	0.886664847629999	0	-1.0583310595375	1	"C10H16N2O5"
48.9	489	-1268.96910762979	-3929.1	-4248.73074684178	-0.149999999999878	-5.47717911402951	465.116279069767	0.108182684981251	-1	-23	10	2	0	0	44	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-5	10	2	0	0	8	0	-9	0	-0.116666666666667	-0.183333333333333	0.166666666666666	0.0333333333333333	0	0	0.133333333333333	0	0	1	-0.224849351647917	-0.724246758239586	1.24849351647917	0.249698703295835	0	0	0.998794813183338	0	-0.973644164831256	1	"C10H16N2O7"
