"delGcox0"	"delGd0"	"delGd"	"delGcat0"	"delGcat"	"delGan0_O2"	"delGan_O2"	"delGdis_O2"	"lambda_O2"	"stoichD_donor"	"stoichD_h2o"	"stoichD_hco3"	"stoichD_nh4"	"stoichD_hpo4"	"stoichD_hs"	"stoichD_h"	"stoichD_e"	"stoichD_acceptor"	"stoichD_biom"	"stoichA_donor"	"stoichA_h2o"	"stoichA_hco3"	"stoichA_nh4"	"stoichA_hpo4"	"stoichA_hs"	"stoichA_h"	"stoichA_e"	"stoichA_acceptor"	"stoichA_biom"	"stoichCat_donor"	"stoichCat_h2o"	"stoichCat_hco3"	"stoichCat_nh4"	"stoichCat_hpo4"	"stoichCat_hs"	"stoichCat_h"	"stoichCat_e"	"stoichCat_acceptor"	"stoichCat_biom"	"stoichAn_O2_donor"	"stoichAn_O2_h2o"	"stoichAn_O2_hco3"	"stoichAn_O2_nh4"	"stoichAn_O2_hpo4"	"stoichAn_O2_hs"	"stoichAn_O2_h"	"stoichAn_O2_e"	"stoichAn_O2_acceptor"	"stoichAn_O2_biom"	"stoichMet_O2_donor"	"stoichMet_O2_h2o"	"stoichMet_O2_hco3"	"stoichMet_O2_nh4"	"stoichMet_O2_hpo4"	"stoichMet_O2_hs"	"stoichMet_O2_h"	"stoichMet_O2_e"	"stoichMet_O2_acceptor"	"stoichMet_O2_biom"	"formula"
43.2	432	-1206.10757756412	-3740.65	-4020.32690348656	-3.83529411764689	-6.42054280533772	465.116279069767	0.114094138928512	-1	-24	10	3	0	0	41	34	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	3	0	0	7	0	-8.5	0	-0.123529411764706	-0.464705882352941	0.235294117647059	0.170588235294118	0	0	0.0647058823529404	0	0	1	-0.237623550693218	-1.26336485485252	1.37623550693218	0.512870652079654	0	0	0.863364854852525	0	-0.969800180892352	1	"C10H15N3O6"
43.2	432	-1286.01526427456	-3740.65	-4100.234590197	-3.835294117647	-16.2914923401575	465.116279069767	0.109463197008941	-1	-21	10	1	0	0	43	34	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	1	0	0	9	0	-8.5	0	-0.123529411764706	-0.094117647058823	0.235294117647059	-0.0764705882352942	0	0	0.311764705882351	0	0	1	-0.232992608773647	-0.531970435094588	1.32992608773647	0.0329926087736471	0	0	1.29693347896282	0	-0.930437174576001	1	"C10H15NO9"
48.9	489	-1348.87679434023	-3929.1	-4328.63843355222	-0.150000000000006	-14.7997425635815	465.116279069767	0.104031912902608	-1	-20	10	0	0	0	46	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-2	10	0	0	0	10	0	-9	0	-0.116666666666667	0.166666666666667	0.166666666666666	-0.2	0	0	0.366666666666666	0	0	1	-0.220698579569275	-0.0413971591385486	1.20698579569275	-0.2	0	0	1.40698579569274	0	-0.936287216123471	1	"C10H16O10"
77.4	774	-1463.41522789246	-4871.35	-5270.88843355222	-28.8900000000002	-36.8807686710446	465.116279069767	0.0812454135194284	-1	-25	10	0	0	0	56	46	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-2	10	0	0	0	10	0	-11.5	0	-0.1	0.200000000000001	0	-0.2	0	0	0.199999999999999	0	-0.1	1	-0.181245413519428	0.0375091729611438	0.812454135194284	-0.2	0	0	1.01245413519428	0	-1.03432225547343	1	"C10H16O5"
60.3	603	-1394.69216776112	-4306	-4705.53843355222	6.11500000000008	-3.87346083880549	465.116279069767	0.0980212625492825	-1	-22	10	0	0	0	50	40	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-2	10	0	0	0	10	0	-10	0	-0.105	0.19	0.0499999999999998	-0.2	0	0	0.249999999999999	0	0	1	-0.203021262549282	-0.00604252509856473	1.03021262549282	-0.2	0	0	1.23021262549282	0	-0.980212625492825	1	"C10H16O8"
88.8	888	-1669.04597473423	-5248.25	-5807.60380697311	-66.5800000000001	-90.5523060131335	465.116279069767	0.0644954417529136	-1	-30	10	0	2	0	64	50	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-5	10	0	2	0	14	0	-12.5	0	-0.1	-0.0999999999999996	0	-0.2	0.2	0	0.6	0	-0.2	1	-0.164495441752914	-0.422477208764568	0.644954417529136	-0.2	0.328990883505827	0	1.50293618454079	0	-1.00619302191142	1	"C10H16O8S2"
103.05	1030.5	-1806.22287822079	-5719.375	-6358.63649368356	-113.6925	-145.655574684178	465.116279069767	0.0502404414378665	-1	-34	10	0	3	0	71	55	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6.5	10	0	3	0	16	0	-13.75	0	-0.1	-0.25	0	-0.2	0.3	0	0.8	0	-0.325	1	-0.150240441437866	-0.576562869346132	0.502404414378665	-0.2	0.450721324313599	0	1.60384706300586	0	-1.01580606977066	1	"C10H16O8S3"
160.05	1600.5	-2354.93049216702	-7603.875	-8562.76724052534	-302.1425	-366.068649368356	465.116279069768	0.0115672453681381	-1	-50	10	0	7	0	99	75	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-12.5	10	0	7	0	24	0	-18.75	0	-0.1	-0.85	0	-0.2	0.7	0	1.6	0	-0.825	1	-0.111567245368138	-0.994590567101726	0.115672453681381	-0.2	0.780970717576967	0	1.87761388883531	0	-1.04188585065259	1	"C10H16O8S7"
97.35	973.5	-1783.31519151035	-5530.925	-6170.18649368356	-94.8475000000001	-126.810574684178	465.116279069767	0.0548290889962425	-1	-33	10	0	3	0	69	53	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6.5	10	0	3	0	16	0	-13.25	0	-0.1	-0.25	0	-0.2	0.3	0	0.799999999999999	0	-0.275	1	-0.154829088996243	-0.606389078475576	0.548290889962425	-0.2	0.464487266988728	0	1.67726542393988	0	-1.00148542920021	1	"C10H16O9S3"
140.1	1401	-2194.84590197002	-6944.3	-7823.28455381489	-236.185	-292.120380697312	465.116279069768	0.0221129497696843	-1	-45	10	0	6	0	90	68	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-11	10	0	6	0	22	0	-17	0	-0.1	-0.699999999999999	0	-0.2	0.6	0	1.4	0	-0.65	1	-0.122112949769684	-0.943242447466527	0.221129497696843	-0.2	0.732677698618106	0	1.88648489493305	0	-1.02592014608463	1	"C10H16O9S6"
48.9	489	-1229.01526427456	-3929.1	-4208.77690348656	-0.149999999999849	-0.815897389253514	465.116279069768	0.110317175827468	-1	-24	10	3	0	0	43	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6	10	3	0	0	7	0	-9	0	-0.116666666666667	-0.3	0.166666666666666	0.15	0	0	0.0166666666666656	0	0	1	-0.226983842494135	-0.96190305496481	1.26983842494135	0.480951527482405	0	0	0.788886897458944	0	-0.992854582447215	1	"C10H17N3O6"
